word,count
chansons,7
et,1206
comptines,2
pour,295
toute,51
la,1183
famille,5
cchhaannssoonnss,3
eett,15
ccoommppttiinneess,1
ppoouurr,5
ttoouuttee,2
llaa,16
ffaammiillllee,3
on,409
ne,395
peut,68
s,311
imaginer,2
une,284
journée,5
sans,135
chanson,6
ou,78
du,318
moins,43
musique,2
chante,1
lorsqu,3
est,489
gai,1
heureux,11
même,75
a,161
de,1382
peine,36
il,935
existe,1
des,340
tous,134
nos,49
états,4
d,591
âme,11
quand,82
regarde,6
un,940
enfant,22
en,828
train,5
amuser,3
tout,238
seul,37
souvent,33
l,1144
entend,8
fredonner,1
air,23
chanter,7
petite,13
apprise,1
chez,65
lui,257
ailleurs,4
ce,370
réflexe,1
vient,52
presque,10
naturellement,1
les,804
adultes,1
suffit,6
parfois,3
entendre,11
que,623
à,835
coup,26
souvenirs,1
enfance,1
surgissent,2
dans,213
notre,86
mémoire,7
après,37
avoir,32
chanté,3
encore,52
récité,1
comptine,1
questions,1
réflexions,1
tête,54
livret,1
grand,58
maman,8
sa,259
fille,13
dialoguent,1
amusent,1
écoutant,1
elles,14
miment,1
dansent,1
surtout,11
pénètrent,1
magie,1
imagination,1
rêve,2
11,5
ssuurrlleeppoonnttdd,1
aavviiggnnoonn,2
sur,202
le,1408
pont,4
avignon,4
y,141
danse,7
rond,2
messieurs,20
font,38
comme,123
ci,39
madames,1
ça,13
22,5
lleessppeettiitteessmmaarriioonnnneetttteess,1
ainsi,52
petites,6
marionnettes,10
trois,40
petits,35
tours,10
puis,62
vont,11
poings,2
aux,139
côtés,12
sautez,2
taille,7
cambrée,2
dansez,3
front,6
penché,2
saluez,2
33,4
bbeelllleerroossiinnee,1
bonjour,2
belle,30
rosine,1
comment,21
vous,376
portez,2
me,131
faites,11
mine,8
dites,11
moi,118
qu,535
avez,15
c,185
j,147
ai,80
mal,52
matin,27
qui,388
cause,28
bien,209
chagrin,6
mon,120
coude,3
genou,2
ma,105
cheville,2
44,4
lleessggrreennoouuiilllleess,1
saute,7
grenouille,18
nage,8
tu,98
n,326
as,11
pas,250
peur,25
eau,23
salut,9
monsieur,17
longues,2
jambes,5
madame,8
tes,16
yeux,30
sont,99
gros,18
ta,18
bouche,9
grande,8
si,177
veux,25
être,84
faut,67
manger,14
mouches,6
vas,3
au,297
fond,19
suite,3
cette,124
élise,1
se,346
met,17
rire,6
ggrraanndd,24
mmaammaann,31
qquu,5
eesstt,14
cceeqquuiitteeffaaiittrriirree,1
éélliissee,22
ddeess,8
ggrreennoouuiilllleess,2
cc,5
rriiggoolloo,1
uunnee,7
ffooiiss,3
jj,14
eenn,2
aaii,5
vvuu,1
uunneeeettqquuaannddjjeemmeessuuiissaapppprroocchhééeedd,1
eelllleeeelllleeaassaauuttéé,1
ccee,1
iill,6
yy,3
aa,3
uunn,12
aanniimmaall,1
qquuee,5
ttuu,5
aaiimmeerraaiiss,2
aavvooiirrpplluussqquu,1
uunnaauuttrree,1
hhuumm,1
bbeeaauuccoouupp,2
aavvooiirr,1
éélléépphhaanntt,2
mmaaiiss,3
ddiitt,1
ttrroopp,1
ggrrooss,1
ppuuiiss,1
jjee,8
nnee,1
ppoouurrrraaiissppaassll,1
aammeenneerrddaannssmmaacchhaammbbrree,1
uunnéélléépphhaannttcc,1
eesstteennccoommbbrraanntt,1
oouuiimmaaiissuunneeffoouurrmmiicc,1
eessttttrrooppppeettiitt,1
aalloorrssqquueeddiirraaiiss,1
ttuudd,1
uunneessoouurriiss,1
nnoonn,2
uunneeppeettiitteevvaacchhee,1
nnoonncc,2
eessttbbiieennttrrooppggrrooss,1
aatttteennddss,1
uunneeppoouullee,1
eessttssaauuvvaaggee,1
uunncchhiieenn,1
uunncchhaatt,1
uunncchhaattffrriippoonn,1
oouuii,5
ppeettiitt,6
cchhaatt,2
aaddoorree,1
lleess,15
ppeettiittss,5
cchhaattoonnss,1
cceeqquueejj,1
aaiimmeelleepplluusscc,1
eessttuunnéélléépphhaanntt,1
55,4
ssuurruunneettooiilleedd,1
aarraaiiggnnééee,2
éléphant,13
balançait,1
toile,4
araignée,6
trouva,18
jeu,6
amusant,1
alla,18
chercher,21
autre,150
deux,117
éléphants,7
balançaient,1
trouvèrent,3
intéressant,1
ils,104
allèrent,3
66,4
uunneessoouurriissvveerrttee,1
10,6
moutons,17
9,5
moineaux,2
8,6
marmottes,1
7,5
lapins,2
6,4
canards,2
5,5
fourmis,1
4,6
chats,6
3,6
poussins,1
2,6
belettes,6
1,5
souris,19
verte,5
77,4
uunneeppoouulleessuurruunnmmuurr,1
poule,8
mur,3
picote,1
pain,7
dur,3
picoti,1
picota,1
lève,5
patte,12
va,45
88,4
eessttllaammèèrreemmiicchheell,1
mère,33
michel,6
perdu,25
son,385
chat,39
crie,3
par,203
fenêtre,3
rendra,1
père,29
lustucru,3
répondu,2
allez,10
vot,1
refrain,6
tra,5
ri,1
ra,1
demandé,1
donc,56
trouvé,3
donnez,4
récompense,2
sera,14
rendu,5
dit,312
décidé,1
rendez,3
aurez,6
baiser,3
mais,161
voulu,5
lapin,14
votre,61
vendu,1
99,5
iillééttaaiittuunneebbeerrggèèrree,1
était,147
bergère,11
ron,13
petit,42
patapon,6
gardait,4
ses,167
ronron,6
elle,161
fit,71
fromage,8
lait,11
fripon,2
mets,15
auras,6
bâton,10
mit,33
menton,5
colère,11
donna,11
ccrrooiiss,1
bbiieenn,3
llee,12
ss,1
ssaauuvvéé,1
ddaannss,7
bbooiiss,2
vviieennss,2
nnoouuss,2
aalllloonnss,1
eessssaayyeerr,1
ddee,17
rreettrroouuvveerr,1
pprreennddssttaabbiiccyycclleetttteeeettoonnyyvvaa,1
1100,2
vviioolleettttee,2
quatre,22
cinq,7
six,8
sept,3
violette,4
bicyclette,1
nnoouussiirroonnssaauubbooiiss,1
nous,190
irons,2
bois,24
cueillir,2
cerises,1
panier,2
neuf,2
12,3
seront,7
toutes,31
rouges,1
oohh,4
vvooiiss,2
aass,2
mmaannggéé,1
cceerriisseess,1
bboouucchhee,1
rroouuggee,1
vviieennssoonnvvaaaalllleerrccuueeiilllliirrddeessppoommmmeess,1
mmiicchhaauudd,3
michaud,6
monté,2
pommier,2
branche,3
cassé,1
crac,1
tombé,2
boum,1
où,60
su,4
dos,7
ah,17
relève,5
oouuiillllee,1
ççaa,3
ffaaiitt,1
mmaall,1
qquuaanndd,6
oonn,6
ttoommbbee,1
nn,1
mmêêmmee,3
ppaass,2
pplleeuurréé,1
rreeggaarrddee,1
ppaappiilllloonn,1
pplleeiinn,2
ddeeccoouulleeuurrss,1
ttaappeettaappee,1
tape,2
mains,12
roule,4
joli,5
moulin,13
poisson,8
vole,4
papillon,2
ont,47
tapé,1
jolis,3
moulins,1
tourné,2
nagé,1
envolé,1
ppoommmmeeddeerreeiinneetttteeeettppoommmmeedd,1
aappii,2
pomme,5
reinette,2
api,2
tapis,4
rouge,1
gris,1
cceeqquueettooiiaauussssiittaammaammaanntteecchhaannttaaiittddeess,1
cchhaannssoonnsseetttteerraaccoonnttaaiittddeesshhiissttooiirreess,1
oouuiieettddaannsslleesshhiissttooiirreessççaappaarrllaaiittddee,1
pprriinncceessddeepprriinncceesssseessddeecchheevvaalliieerrssddeeddrraaggoonnss,1
cceeqquueeççaappaarrllaaiittaauussssiiddeecchhââtteeaauuxx,1
oouuiiççaappaarrllaaiittaauussssiiddeecchhââtteeaauuxx,1
1111,2
lleerrooiiddaaggoobbeerrtt,1
bon,55
roi,54
dagobert,6
mis,20
culotte,2
envers,11
saint,9
éloi,6
ô,28
majesté,10
culottée,1
vrai,20
je,400
vais,9
remettre,1
endroit,12
mettre,24
bel,5
habit,4
vert,2
paré,3
percé,2
tien,2
prête,8
chassait,2
plaine,2
anvers,1
essoufflée,1
courait,7
avait,92
sabre,2
fer,6
pourrait,10
blesser,2
donne,22
battait,3
tort,14
travers,5
fera,9
tuer,3
toi,32
vite,17
devant,24
mourut,3
diable,5
aussitôt,37
accourut,7
satan,2
passer,17
confesser,1
hélas,11
pourrais,2
mourir,13
1122,2
lleeppeettiittpprriinnccee,1
lundi,1
femme,34
p,7
tit,6
prince,18
venus,4
serrer,1
pince,1
étais,4
là,85
puisque,6
reviendrons,1
mardi,2
mercredi,1
jeudi,1
vendredi,1
samedi,1
dimanche,1
1133,2
aaiiuunnbbeeaauucchhââtteeaauu,1
beau,51
château,3
tantirelirelire,7
tantirelirelo,7
nôtre,8
plus,244
détruirons,2
ferez,4
prenant,2
pierre,8
quelle,18
prendrez,2
celle,22
voici,24
1144,2
aaiippeerrdduulleeddooddeemmaaccllaarriinneettttee,1
do,11
clarinette,7
bis,58
papa,4
savait,7
camarade,10
tralala,1
ré,6
mi,6
fa,4
sol,3
jjeeppeeuuxxtteeppoosseerruunneeqquueessttiioonn,1
aaiimmeess,1
ttuulleessbbaatteeaauuxx,1
pprreennddss,1
mmoonn,3
bbaaiinn,1
mm,1
aammuussee,1
aavveeccmmoonn,1
bbaatteeaauueett,1
jjeell,1
aappppoorrtteeaauussssii,1
ààllaappllaaggee,1
jjoouurr,1
sseerraaii,1
ccaappiittaaiinnee,1
ttaannttee,1
oonnccllee,1
qquuii,3
ssoonnttttoouusslleessddeeuuxxddeessccaappiittaaiinneess,1
cceeqquueettuuaaiimmeesslleessppooiissssoonnss,1
rreeqquuiinnss,1
aaiimmee,3
bbaalleeiinneess,1
hhoommaarrddss,1
vvaaiiss,1
aauu,4
qquuaaii,1
ppêêcchheeuurrss,4
rraappppoorrtteenntt,1
ppooiissssoonnss,1
ééttéé,1
ddjjiigguueerr,1
llaammoorruueessuurruunnggrroossggrroossggrroossbbaatteeaauu,1
1155,2
iillééttaaiittuunnppeettiittnnaavviirree,1
navire,4
ja,2
jamais,43
navigué,1
ohé,20
entreprit,2
long,19
voyage,12
mer,10
mé,2
méditerranée,1
bout,33
semaines,2
vivres,1
vin,6
vinrent,3
manquer,4
tira,2
courte,2
paille,1
savoir,10
serait,17
mangé,2
sort,38
tomba,4
jeune,20
fait,188
ciel,22
prière,4
interrogeant,1
geant,2
immensité,1
sainte,1
vierge,1
patronne,1
cria,7
pau,2
pauvre,36
infortuné,1
instant,9
miracle,4
fut,109
réalisé,1
tits,1
poissons,3
sautèrent,1
plusieurs,9
milliers,1
prit,19
frire,2
mou,2
mousse,2
sauvé,4
1166,2
mmaammaannlleessppeettiittssbbaatteeaauuxx,1
bateaux,1
oui,7
bêta,1
avaient,15
marcheraient,1
1177,2
ppaarrttoonnssllaammeerreessttbbeellllee,1
partons,2
embarquons,1
pêcheurs,1
guidons,1
nacelle,2
ramons,1
avec,91
ardeur,2
mâts,1
hissons,1
voiles,2
pur,3
vois,20
briller,1
étoile,1
guide,3
matelots,2
pêche,1
bonne,30
amis,21
bruit,19
lune,11
rayonne,1
éclairera,1
nuit,16
avant,16
aurore,5
soyons,3
retour,6
soit,29
jour,61
1188,2
hhiissttooiirreeddeessooiisseeaauuxxeettddeessppêêcchheeuurrss,1
vvooiitt,1
bbaatteeaauuxx,2
llaarrggee,1
ppoouurrqquuooii,1
ttoouujjoouurrssddeessooiisseeaauuxxqquuiivvoolleennttttoouuttaauuttoouurr,1
ppaarrcceeqquueelleess,1
cceessoonntt,1
ddeessggeennss,1
rraaccoonntteenntt,1
éénnoorrmméémmeenntt,1
dd,4
hhiissttooiirreess,2
ooiisseeaauuxx,2
ssoonnttttrrèèssccuurriieeuuxxaalloorrssddèèssqquu,1
iillssaapppprreennnneennttààvvoolleerriillss,1
vvoolleenntt,1
vveerrss,1
aalllleerr,1
ééccoouutteerr,1
lleeuurrss,1
1199,2
ààllaavvoolleettttee,1
près,25
fontaine,13
oiseau,26
chantait,8
volette,7
couru,2
m,86
pleurer,4
rebelles,1
voulaient,6
quitter,8
bête,26
leur,147
disait,37
restez,2
temps,79
devient,4
sombre,1
serez,10
mouillés,2
oiseleur,5
guette,1
happés,2
partirent,1
savaient,6
voler,4
2200,2
aalloouueettttee,2
alouette,15
gentille,1
te,51
plumerai,3
bec,12
cou,11
répète,1
toujours,59
autres,34
parties,4
corps,32
nommées,1
couplets,1
précédents,1
ajouter,3
importe,8
partie,7
2211,2
uunnéélléépphhaannttççaattrroommppee,1
trompe,12
énormément,3
2222,2
mmoonnmmeerrllee,1
merle,10
becs,2
marlot,1
pattes,3
ailes,5
queue,24
rajouter,1
ssaaiiss,1
ttoouuss,2
eennffaannttss,2
dduu,2
mmoonnddee,1
aaddoorreenntt,1
cchhaanntteerr,3
pprreemmiièèrreess,1
iillss,3
oonntt,1
eenntteenndduueess,1
ééttaaiieenntt,2
vveennttrree,5
lleeuurr,5
mmèèrree,3
eehh,2
mmaammaannss,1
cchhaannttaaiieenntt,1
ppaarrccee,1
eelllleess,1
hheeuurreeuusseess,1
ppaarrffooiiss,2
aavvaaiitt,1
ddeeuuxx,1
ttrrooiiss,1
ccaacchhééss,1
cceess,2
bbéébbééss,1
llàà,2
ééccoouuttaaiieenntt,1
ssiittôôtt,1
ssoorrttiiss,1
ddiirree,1
àà,5
qquueell,1
ppooiinntt,1
eellllee,1
ééttaaiitt,3
ccoonntteennttee,1
oouu,1
eennccoorree,1
eennddoorrmmiirr,1
ccoonnttiinnuuaaiitt,1
aaiimmaaiieennttbbeeaauuccoouuppbbeeaauuccoouuppbbeeaauuccoouuppççaa,1
ddrrôôllee,1
aavveecc,1
mmeess,2
aammiiss,2
cchhaannttee,1
23,3
ventre,4
bébé,2
dort,2
tranquillement,1
bouge,3
vivant,8
coups,14
suce,1
pouce,1
attendant,6
assez,35
sortir,15
aaiimmeeppaappaajj,1
aaiimmeemmaammaann,1
aime,11
chien,33
frère,10
llaabbaarrbbiicchheettttee,1
tiens,12
barbichette,2
premier,21
rira,1
aura,6
tapette,1
mmeennttoonnffoouurrcchhuu,1
fourchu,1
argent,26
nez,12
cancan,1
joue,3
rôtie,1
bouillie,1
oeil,4
sourcillon,1
sourcillette,1
cogne,2
caboche,1
aavveecctteessddooiiggttssmmoonnttrree,1
mmooiiccoommbbiieennttuu,1
aassdd,1
ccoommmmeeççaa,1
cciinnqqccoommmmeelleesscciinnqqddooiiggttssddeellaammaaiinn,1
oouuiieettqquuaannddjjeevvaaiissààuunneeffêêtteeiillyyeennaaeennccoorree,1
pplluuss,1
cceeqquueevvoouussffaaiitteessqquuaannddvvoouuss,1
aalllleezzààuunneeffêêttee,1
oonnffaaiittddeessjjeeuuxxoonnmmaannggeeddeessggââtteeaauuxxoonnddaannssee,1
vvoouussddaannsseezz,1
oouuiioonnbboouuggeeoonnss,1
eexxcciitteeoonnrriittoonnaattoouujjoouurrssdduu,1
ppllaaiissiirr,1
2244,2
ddaannssoonnssllaaccaappuucciinnee,1
dansons,3
capucine,3
voisine,8
tiou,3
plaisir,21
pleure,2
rit,7
2255,2
ddaannssllaaffeerrmmeeààmmaatthhuurriinn,1
ferme,11
mathurin,8
hi,16
aïe,16
ho,8
centaines,3
chiens,21
wouf,7
chacun,51
coin,13
bê,7
centaine,1
vache,4
meu,7
2266,2
mmaappeettiitteevvaacchhee,1
tirons,1
ira,1
mieux,43
2277,2
iillpplleeuuttbbeerrggèèrree,1
pleut,4
rentre,2
blancs,2
allons,7
sous,28
chaumière,1
entends,5
feuillage,2
tombe,10
venir,16
orage,5
éclair,1
luit,2
tonnerre,3
approchant,4
prends,5
abri,3
droite,1
marchant,1
cabane,2
sœur,15
anne,2
étable,4
ouvrir,3
bonsoir,3
amène,5
soir,11
sécher,1
mie,2
auprès,3
tisons,1
fais,21
compagnie,7
entrez,2
soignons,1
o,1
tant,76
troupeau,9
litière,3
agneau,6
eh,24
voilà,42
corset,1
voyez,16
couche,6
dors,3
jusqu,21
laisse,19
mot,16
amour,19
rougis,1
demain,9
ton,49
demander,3
main,12
2288,2
llaassoouurriissvveerrttee,1
herbe,15
attrape,3
montre,8
ces,137
disent,6
trempez,2
huile,1
escargot,1
chaud,6
tiroir,1
trop,57
noir,5
chapeau,2
mes,53
grandes,4
poches,2
moches,1
chemise,1
bises,1
crottes,1
2299,2
ssaavveezz,2
vvoouussppllaanntteerrddeesscchhoouuxx,1
savez,7
planter,4
choux,3
mode,8
plante,4
doigts,2
coudes,1
pieds,28
amusez,2
essayer,1
faisant,13
geste,1
encouragez,1
faire,95
ééttaaiiss,1
ppeettiittee,2
ccoommmmee,1
aallllaaiitt,1
ssoouuvveenntt,1
jjaarrddiinn,1
ggrraannddss,1
ppaarreennttss,1
mmaannggeerr,1
ccaarrootttteess,1
rreevveennaaiitt,1
mmaa,3
cchhaannttaaiitt,1
ttoouujjoouurrssllaammêêmmeecchhaannssoonn,1
3300,2
mmeeuunniieerrttuuddoorrss,1
meunier,13
fort,70
cceeqquueettuutt,1
eessbbiieennaammuussééee,1
oohhoouuii,1
pprréésseenntt,1
vvaa,1
ssee,1
rreeppoosseerr,1
ppeeuu,1
3311,2
aauuccllaaiirrddeellaalluunnee,1
clair,6
ami,34
pierrot,4
plume,2
écrire,3
chandelle,1
morte,1
feu,4
ouvre,3
porte,25
dieu,29
répondit,7
suis,36
lit,11
crois,20
car,52
cuisine,5
bat,4
briquet,1
rendort,1
cœur,12
blanc,3
croissant,2
3322,2
llaappoouulleetttteeggrriissee,1
poulette,10
grise,3
pondu,3
église,1
coco,1
dodo,5
di,1
che,1
blanche,4
noire,4
armoire,2
couverte,3
brune,1
orange,1
grange,1
toilette,1
beige,1
neige,3
bleue,1
cheveux,4
rose,1
roses,1
remplacez,1
nom,14
3333,2
ffaaiissddooddooccoollaassmmoonnppeettiittffrrèèrree,1
colas,2
lolo,2
haut,26
gâteau,2
bas,17
chocolat,1
oubliez,1
pouvez,7
aussi,49
composer,1
vos,30
propres,3
partir,12
activité,1
exemple,13
jacques,1
suivantes,1
biscuit,2
avoine,2
dormir,5
rêves,1
pipi,1
changeons,2
propre,9
ssuurr,3
ppoonntt,1
ppeettiitteess,1
mmaarriioonnnneetttteess,1
bbeellllee,2
rroossiinnee,1
ttooiillee,1
ssoouurriiss,2
vveerrttee,2
ppoouullee,1
mmuurr,1
mmiicchheell,1
bbeerrggèèrree,2
iirroonnss,1
ttaappee,2
ppoommmmee,2
rreeiinneettttee,1
rrooii,1
ddaaggoobbeerrtt,1
pprriinnccee,1
bbeeaauu,1
cchhââtteeaauu,1
ppeerrdduu,1
ddoo,1
ccllaarriinneettttee,1
nnaavviirree,1
ppaarrttoonnss,1
mmeerr,1
hhiissttooiirree,1
vvoolleettttee,1
ttrroommppee,1
mmeerrllee,1
2233,1
ssaa,1
ppaappaa,1
bbaarrbbiicchheettttee,1
mmeennttoonn,1
ffoouurrcchhuu,1
ddaannssoonnss,1
ccaappuucciinnee,1
ffeerrmmee,1
mmaatthhuurriinn,1
vvaacchhee,1
pplleeuutt,1
vvoouuss,1
ppllaanntteerr,1
cchhoouuxx,1
mmeeuunniieerr,1
ddoorrss,1
ccllaaiirr,1
lluunnee,1
ppoouulleettttee,1
ggrriissee,1
ffaaiiss,1
ddooddoo,1
ccoollaass,1
ffrrèèrree,1
commanditaire,1
partenaire,1
privilégié,1
coalition,1
francophone,1
nouveau,23
brunswick,3
goût,10
lire,7
commanditaires,1
financiers,1
gouvernement,4
communautés,1
écoute,4
enfants,29
péninsule,1
acadienne,1
services,1
parle,9
collaborations,1
spéciales,1
carole,1
asselin,1
orthophoniste,1
école,3
polyvalente,1
w,1
losier,1
parents,9
tteexxtteess,1
cchhrriissttiiaannee,1
sstt,1
ppiieerrrree,1
ccoonncceeppttiioonn,1
ggrraapphhiiqquuee,1
iilllluussttrraattiioonnss,1
ppaaggee,1
ccoouuvveerrttuurree,1
eennddooss,1
cchhrriissttiiaann,1
ppaauulliinn,1
22000066,1
ffeessttiivvaall,2
ppéénniinnssuullee,2
aaccaaddiieennnnee,2
iinncc,2
pprroodduuccttiioonn,1
ddrrooiittss,1
rreepprroodduuccttiioonn,1
rréésseerrvvééss,1
fables,17
jean,19
beq,2
livres,4
bibliothèque,6
électronique,6
québec,8
collection,4
vents,10
volume,3
503,2
version,2
20,3
outre,7
contes,7
constituent,2
gloire,13
essayé,2
genres,2
nombre,8
243,2
restent,2
chef,8
œuvre,3
certains,10
considèrent,2
copieur,2
rien,91
inventé,6
inspiré,2
anciennes,2
écrites,4
esope,1
horace,4
abstémius,2
phèdre,5
culture,4
grecque,2
panchatantra,2
pilpay,2
indienne,2
considérablement,2
améliorées,2
langue,9
simple,6
fable,19
sèche,2
démonstration,2
morale,4
court,18
récit,11
intrigue,2
rapide,2
vive,6
souplesse,4
naturel,6
style,4
réalité,2
fruit,4
travail,7
poète,5
manifesté,2
parfaite,3
maîtrise,2
vers,23
wikipedia,2
édition,2
référence,2
numérisation,2
adl,2
agence,2
livre,25
montréal,2
cigale,3
fourmi,12
ayant,33
été,10
dépourvue,2
bise,2
venue,4
morceau,8
mouche,14
vermisseau,1
crier,11
famine,2
priant,2
prêter,3
quelque,80
grain,6
subsister,2
saison,7
nouvelle,11
paierai,1
août,2
foi,18
animal,40
intérêt,3
principal,4
prêteuse,1
moindre,11
défaut,6
faisiez,1
emprunteuse,1
venant,4
chantais,1
déplaise,1
chantiez,1
aise,6
maintenant,3
corbeau,14
renard,46
maître,55
arbre,8
perché,1
tenait,7
odeur,7
alléché,1
tint,6
peu,68
langage,7
hé,1
êtes,16
semblez,1
mentir,3
ramage,3
rapporte,2
plumage,5
phénix,1
hôtes,8
mots,24
sent,8
joie,12
montrer,6
voix,24
large,5
tomber,11
proie,13
saisit,4
apprenez,1
flatteur,3
vit,34
dépens,3
celui,47
leçon,5
vaut,10
doute,8
honteux,3
confus,2
jura,4
tard,7
prendrait,2
veut,26
grosse,6
boeuf,2
bœuf,8
sembla,3
œuf,6
envieuse,1
étend,3
enfle,2
travaille,4
égaler,1
grosseur,3
disant,9
regardez,2
point,126
nenni,1
approchez,4
chétive,3
pécore,1
enfla,1
creva,1
monde,28
plein,22
gens,105
sages,3
bourgeois,6
bâtir,3
grands,15
seigneurs,7
ambassadeurs,2
marquis,1
pages,1
mulets,2
cheminaient,1
chargé,11
portant,7
gabelle,1
glorieux,2
charge,9
eût,39
beaucoup,26
soulagé,2
marchait,5
relevé,1
faisait,23
sonner,2
sonnette,1
ennemi,9
présentant,1
voulait,13
mulet,7
fisc,1
troupe,6
jette,4
frein,2
arrête,4
défendant,1
gémit,3
soupire,4
promis,5
suit,9
danger,10
retire,5
péris,2
emploi,6
avais,6
servi,4
serais,4
malade,10
loup,65
os,5
peau,18
faisaient,5
garde,5
rencontre,11
dogue,2
puissant,6
gras,10
poli,1
fourvoyé,1
mégarde,1
attaquer,2
quartiers,1
sire,18
volontiers,5
fallait,10
livrer,2
bataille,5
mâtin,3
défendre,6
hardiment,2
aborde,1
humblement,1
entre,40
propos,10
compliment,3
embonpoint,2
admire,1
tiendra,1
répartit,1
quittez,3
pareils,8
misérables,3
cancres,1
hères,1
pauvres,8
diables,1
dont,45
condition,4
faim,9
quoi,43
assuré,3
franche,1
lippée,1
pointe,2
épée,2
suivez,6
meilleur,8
destin,12
reprit,20
faudra,5
t,64
donner,12
chasse,7
bâtons,5
mendiants,1
flatter,1
ceux,31
logis,20
complaire,1
moyennant,3
salaire,8
force,17
reliefs,2
façons,2
poulets,4
pigeons,3
parler,6
mainte,12
caresse,3
déjà,13
forge,1
félicité,2
tendresse,2
chemin,16
pelé,2
chose,47
collier,2
attaché,4
courez,2
voulez,8
repas,9
aucune,4
sorte,19
voudrais,7
prix,14
trésor,15
cela,39
enfuit,6
génisse,5
chèvre,10
brebis,13
société,3
lion,68
fier,4
seigneur,16
voisinage,5
firent,14
jadis,8
mirent,3
commun,11
gain,4
dommage,2
lacs,6
cerf,22
pris,31
associés,2
envoie,4
eux,45
ongles,2
compta,1
sommes,12
partager,2
autant,18
parts,5
dépeça,1
première,6
qualité,4
doit,11
raison,32
appelle,6
dire,45
seconde,4
droit,20
échoir,1
vaillant,3
prétends,3
troisième,10
quelqu,20
touche,2
quatrième,2
étranglerai,1
abord,21
besace,1
jupiter,31
respire,3
vienne,6
comparaître,2
grandeur,6
composé,1
trouve,19
redire,1
déclarer,1
mettrai,1
remède,4
venez,7
singe,16
parlez,4
animaux,26
comparaison,1
leurs,50
beautés,3
vôtres,2
satisfait,1
pourquoi,11
non,50
portrait,2
ici,28
reproché,1
ours,30
ébauché,1
croire,7
peindre,4
dessus,19
crut,17
allait,20
plaindre,8
forme,4
loua,3
très,14
glosa,1
ôter,3
oreilles,12
masse,2
informe,1
beauté,6
étant,42
écouté,1
13,3
sage,30
choses,6
pareilles,6
jugea,3
appétit,7
dame,10
baleine,1
ciron,1
croyant,3
colosse,2
jupin,4
renvoya,2
censurés,1
reste,9
contents,2
parmi,14
fous,8
espèce,8
excella,1
lynx,1
taupes,1
pardonnons,1
hommes,19
voit,28
œil,9
prochain,1
fabricateur,1
souverain,1
créa,2
besaciers,1
manière,11
passé,12
aujourd,11
hui,11
défauts,3
poche,1
derrière,1
autrui,8
14,2
hirondelle,9
oiseaux,7
voyages,2
appris,2
quiconque,4
vu,15
retenu,2
prévoyait,1
moindres,5
orages,2
fussent,2
éclos,1
annonçait,1
arriva,7
chanvre,2
sème,1
manant,7
couvrir,1
maints,4
sillons,2
ceci,22
plaît,12
oisillons,4
plains,6
péril,2
extrême,12
saurai,3
éloigner,1
vivre,12
airs,6
chemine,3
viendra,5
loin,25
répand,2
ruine,3
naîtront,1
engins,1
envelopper,1
lacets,1
attraper,5
enfin,44
machine,8
causera,2
mort,56
prison,1
15,3
gare,1
cage,2
chaudron,1
mangez,1
croyez,8
moquèrent,1
trouvaient,1
champs,9
chènevière,1
arrachez,1
brin,4
produit,3
